TAIR,Type
AT1G76570,Light-harvesting complex
AT1G15820,Light-harvesting complex
AT1G19150,Light-harvesting complex
AT1G45474,Light-harvesting complex
AT1G61520,Light-harvesting complex
AT2G05070,Light-harvesting complex
AT2G05100,Light-harvesting complex
AT2G34420,Light-harvesting complex
AT2G34430,Light-harvesting complex
AT2G40100,Light-harvesting complex
AT3G08940,Light-harvesting complex
AT3G27690,Light-harvesting complex
AT3G47470,Light-harvesting complex
AT3G54890,Light-harvesting complex
AT3G61470,Light-harvesting complex
AT4G10340,Light-harvesting complex
AT5G01530,Light-harvesting complex
AT5G54270,Light-harvesting complex
AT1G29910,Light-harvesting complex
AT1G29920,Light-harvesting complex
AT1G67090,RuBisCO
AT5G38410,RuBisCO
AT5G38420,RuBisCO
AT5G38430,RuBisCO
ATCG00490,RuBisCO
