TAIR,Subcellular,Mol_Fraction2
ATCG00490,plastid,0.150634114
AT5G38420,plastid,0.07765161
AT2G34420,plastid,0.049748998
AT2G39730,plastid,0.024575761
ATCG00680,plastid,0.019499787
ATCG00120,plastid,0.016660765
ATCG00280,plastid,0.016558719
ATCG00480,plastid,0.015417339
ATCG00340,plastid,0.009606639
ATCG00350,plastid,0.00863166
ATCG00270,plastid,0.017957983
ATCG00020,plastid,0.014385667
AT1G67090,plastid,0.025783622
AT3G60750,plastid,0.006017024
AT3G01500,plastid,0.016098288
AT5G17920,cytosol,0.005375207
AT4G10340,plastid,0.011946917
AT5G66570,plastid,0.009526987
AT4G38970,plastid,0.007488024
AT1G42970,plastid,0.006296578
AT3G12780,plastid,0.005788641
AT5G04140,plastid,0.001616165
AT5G60390,cytosol,0.005472297
AT5G35630,plastid,0.00550638
AT1G15820,plastid,0.009442663
AT3G26650,plastid,0.00599754
AT5G53460,plastid,0.001026014
AT4G33010,mitochondrion,0.002184902
AT2G05070,plastid,0.008286572
AT1G31330,plastid,0.008837826
AT1G61520,plastid,0.008897604
AT5G54270,plastid,0.00710733
AT1G56070,cytosol,0.002137705
AT1G06680,plastid,0.006988188
AT3G26520,vacuole,0.007527374
AT3G08940,plastid,0.005936298
AT1G13440,"cytosol,nucleus",0.004819383
AT3G14210,vacuole,0.003961592
AT3G47470,plastid,0.006050233
AT5G50920,plastid,0.001623045
AT5G26000,peroxisome,0.002695085
AT3G45140,plastid,0.00155394
AT1G32060,plastid,0.003356638
AT4G37930,mitochondrion,0.002560366
AT5G01530,plastid,0.004659738
AT5G02500,cytosol,0.001939714
AT1G09340,plastid,0.003160509
AT4G20360,plastid,0.002582473
AT1G29930,plastid,0.004699253
AT3G14415,peroxisome,0.003218607
AT1G23310,peroxisome,0.00236513
AT5G14740,plastid,0.004378132
AT5G46110,plastid,0.003810133
AT4G12800,plastid,0.005409651
AT4G04640,plastid,0.002958402
AT4G35090,peroxisome,0.002065397
ATCG00130,plastid,0.005499089
AT3G61470,plastid,0.004095985
AT4G13940,cytosol,0.002133328
AT1G44575,plastid,0.004058437
ATCG00540,plastid,0.003183465
AT1G03130,plastid,0.004918393
AT4G21280,plastid,0.004517343
AT3G55800,plastid,0.002389987
AT1G55490,plastid,0.001583833
AT5G25980,extracellular,0.001534218
AT5G56030,"cytosol,nucleus",0.001196449
AT2G28000,plastid,0.001535999
AT1G11860,mitochondrion,0.002138649
AT2G21330,plastid,0.002190856
AT1G72610,extracellular,0.00416776
AT4G05180,plastid,0.003567086
AT1G20620,peroxisome,0.001549788
AT3G54050,plastid,0.001946526
AT3G54890,plastid,0.003762429
AT2G42600,cytosol,0.000795282
AT5G66190,plastid,0.00214873
AT3G11630,plastid,0.002869529
AT1G20340,plastid,0.004918065
AT1G50010,cytosol,0.001642263
AT2G13360,peroxisome,0.001769235
AT3G46970,cytosol,0.000806802
AT5G62700,cytosol,0.001483776
AT2G30860,cytosol,0.003056424
AT3G62030,plastid,0.002617736
AT2G36830,vacuole,0.002852847
AT1G68010,peroxisome,0.001662557
AT5G09660,peroxisome,0.001964991
AT3G17390,"plasma membrane,nucleus",0.001600644
AT1G20020,plastid,0.001652252
AT4G03280,plastid,0.002958975
AT5G38430,plastid,0.003173523
