file	sample	sample_name	condition	replicate
C:\Protoplast_Reanalysis\nanoPOTs_Library_Ctrl_Day0_B4.raw	Lib_10	Lib_10	Lib	10
C:\Protoplast_Reanalysis\nanoPOTs_Library_Ctrl_Day0_B5.raw	Lib_11	Lib_11	Lib	11
C:\Protoplast_Reanalysis\nanoPOTs_Library_Ctrl_Day0_B6.raw	Lib_12	Lib_12	Lib	12
C:\Protoplast_Reanalysis\nanoPOTs_Library_Ctrl_Day0_C4.raw	Lib_13	Lib_13	Lib	13
C:\Protoplast_Reanalysis\nanoPOTs_Library_Ctrl_Day0_C6.raw	Lib_14	Lib_14	Lib	14
C:\Protoplast_Reanalysis\nanoPOTs_Library_Ctrl_Day0_C9.raw	Lib_15	Lib_15	Lib	15
C:\Protoplast_Reanalysis\nanoPOTs_Library_Ctrl_Day7_B4.raw	Lib_16	Lib_16	Lib	16
C:\Protoplast_Reanalysis\nanoPOTs_Library_Ctrl_Day7_C8.raw	Lib_17	Lib_17	Lib	17
C:\Protoplast_Reanalysis\nanoPOTs_Library_Ctrl_Day7_C9.raw	Lib_18	Lib_18	Lib	18
C:\Protoplast_Reanalysis\nanoPOTs_Library_Ctrl_Day7_D4.raw	Lib_19	Lib_19	Lib	19
C:\Protoplast_Reanalysis\nanoPOTs_Library_Ctrl_Day7_D8.raw	Lib_20	Lib_20	Lib	20
C:\Protoplast_Reanalysis\nanoPOTs_Library_Ctrl_Day7_D9.raw	Lib_21	Lib_21	Lib	21
C:\Protoplast_Reanalysis\nanoPOTs_Library_Drgt_Day0_D4.raw	Lib_22	Lib_22	Lib	22
C:\Protoplast_Reanalysis\nanoPOTs_Library_Drgt_Day0_D5.raw	Lib_23	Lib_23	Lib	23
C:\Protoplast_Reanalysis\nanoPOTs_Library_Drgt_Day0_D6.raw	Lib_24	Lib_24	Lib	24
C:\Protoplast_Reanalysis\nanoPOTs_Library_Drgt_Day0_D7.raw	Lib_25	Lib_25	Lib	25
C:\Protoplast_Reanalysis\nanoPOTs_Library_Drgt_Day0_D8.raw	Lib_26	Lib_26	Lib	26
C:\Protoplast_Reanalysis\nanoPOTs_Library_Drgt_Day0_D9.raw	Lib_27	Lib_27	Lib	27
C:\Protoplast_Reanalysis\nanoPOTs_Protoplasts_Library_CV1_R1_C2.raw	Lib_4	Lib_4	Lib	4
C:\Protoplast_Reanalysis\nanoPOTs_Protoplasts_Library_CV1_R2_C3.raw	Lib_5	Lib_5	Lib	5
C:\Protoplast_Reanalysis\nanoPOTs_Protoplasts_Library_CV2_R1_C4.raw	Lib_6	Lib_6	Lib	6
C:\Protoplast_Reanalysis\nanoPOTs_Protoplasts_Library_CV2_R2_C5.raw	Lib_7	Lib_7	Lib	7
C:\Protoplast_Reanalysis\nanoPOTs_Protoplasts_Library_CV3_R1_C6.raw	Lib_8	Lib_8	Lib	8
C:\Protoplast_Reanalysis\nanoPOTs_Protoplasts_Library_CV3_R2_C7.raw	Lib_9	Lib_9	Lib	9
C:\Protoplast_Reanalysis\nanoPOTs_210902J_Ctrl_Day7_A4.raw	nanoPOTs_210902J_Ctrl_Day7_A4	nanoPOTs_210902J_Ctrl_Day7_A4	nanoPOTs	1
C:\Protoplast_Reanalysis\nanoPOTs_210902J_Ctrl_Day7_A5.raw	nanoPOTs_210902J_Ctrl_Day7_A5	nanoPOTs_210902J_Ctrl_Day7_A5	nanoPOTs	1
C:\Protoplast_Reanalysis\nanoPOTs_210902J_Ctrl_Day7_B1.raw	nanoPOTs_210902J_Ctrl_Day7_B1	nanoPOTs_210902J_Ctrl_Day7_B1	nanoPOTs	1
C:\Protoplast_Reanalysis\nanoPOTs_210902J_Ctrl_Day7_B12.raw	nanoPOTs_210902J_Ctrl_Day7_B12	nanoPOTs_210902J_Ctrl_Day7_B12	nanoPOTs	1
C:\Protoplast_Reanalysis\nanoPOTs_210902J_Ctrl_Day7_B2.raw	nanoPOTs_210902J_Ctrl_Day7_B2	nanoPOTs_210902J_Ctrl_Day7_B2	nanoPOTs	1
C:\Protoplast_Reanalysis\nanoPOTs_210902J_Ctrl_Day7_B3.raw	nanoPOTs_210902J_Ctrl_Day7_B3	nanoPOTs_210902J_Ctrl_Day7_B3	nanoPOTs	1
C:\Protoplast_Reanalysis\nanoPOTs_210902J_Ctrl_Day7_B5.raw	nanoPOTs_210902J_Ctrl_Day7_B5	nanoPOTs_210902J_Ctrl_Day7_B5	nanoPOTs	1
C:\Protoplast_Reanalysis\nanoPOTs_210902J_Ctrl_Day7_B6.raw	nanoPOTs_210902J_Ctrl_Day7_B6	nanoPOTs_210902J_Ctrl_Day7_B6	nanoPOTs	1
C:\Protoplast_Reanalysis\nanoPOTs_210902J_Ctrl_Day7_B7.raw	nanoPOTs_210902J_Ctrl_Day7_B7	nanoPOTs_210902J_Ctrl_Day7_B7	nanoPOTs	1
C:\Protoplast_Reanalysis\nanoPOTs_210902J_Ctrl_Day7_B8.raw	nanoPOTs_210902J_Ctrl_Day7_B8	nanoPOTs_210902J_Ctrl_Day7_B8	nanoPOTs	1
C:\Protoplast_Reanalysis\nanoPOTs_210902J_Ctrl_Day7_B9.raw	nanoPOTs_210902J_Ctrl_Day7_B9	nanoPOTs_210902J_Ctrl_Day7_B9	nanoPOTs	1
