Gene	Protein ID
AT4G01995	A0A178UVJ1
AT4G37550	A0A178UXH8
AT4G33625	A0A178V207
AT3G09250	A0A178VFU5
AT1G55980	A0A178WMJ5
AT3G13740	A0A1I9LL75
AT3G45190	A0A1I9LLZ2
AT3G01920	A0A1I9LM38
AT3G23450	A0A1I9LMI7
AT3G47560	A0A1I9LMK8
AT3G12640	A0A1I9LMT6
AT3G60450	A0A1I9LN21
AT3G01980	A0A1I9LNL3
AT3G50590	A0A1I9LNN0
AT3G07470	A0A1I9LNZ1
AT3G01130	A0A1I9LP52
AT3G26085	A0A1I9LP71
AT3G56160	A0A1I9LPI7
AT3G47000	A0A1I9LR68
AT3G10840	A0A1I9LRX3
AT3G62360	A0A1I9LSH2
AT3G04890	A0A1I9LSP2
AT3G56130	A0A1I9LT30
AT3G13060	A0A1I9LTL7
AT3G10270	A0A1I9LTQ6
AT1G48090	A0A1P8AMP4
AT1G80770	A0A1P8AP55
AT1G48460	A0A1P8APR1
AT1G04290	A0A1P8APX5
AT1G21630	A0A1P8APZ6
AT1G01320	A0A1P8AR50
AT1G02080	A0A1P8ARB7
AT1G15060	A0A1P8ARL4
AT1G64680	A0A1P8AS55
AT1G15950	A0A1P8ASX3
AT1G50380	A0A1P8ATN7
AT1G21350	A0A1P8ATZ7
AT1G62850	A0A1P8AU33
AT1G06060	A0A1P8AV86
AT1G18270	A0A1P8AVD8
AT1G52730	A0A1P8AVH1
AT1G80940	A0A1P8AVK8
AT1G66940	A0A1P8AVN7
AT1G35420	A0A1P8AVY5
AT2G01755	A0A1P8AX61
AT2G34310	A0A1P8AXX8
AT2G20960	A0A1P8AYH5
AT2G32520	A0A1P8AZN3
AT2G03140	A0A1P8B118
AT2G22795	A0A1P8B209
AT4G13550	A0A1P8B413
AT4G10430	A0A1P8B4Q6
AT4G18740	A0A1P8B4Q9
AT4G21660	A0A1P8B4Y6
AT4G38550	A0A1P8B5D2
AT4G31210	A0A1P8B5I9
AT4G02120	A0A1P8B6F9
AT4G17330	A0A1P8B770
AT4G20760	A0A1P8B7H4
AT4G01870	A0A1P8B8B4
AT4G24380	A0A1P8B8P6
AT4G22285	A0A1P8B8V0
AT4G12290	A0A1P8B956
