source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[biological replicate]	characteristics[cell line]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	assay name	technology type	comment[cleavage agent details]	comment[data file]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[modification parameters].3	comment[modification parameters].4	comment[precursor mass tolerance]	comment[technical replicate]	comment[tool metadata]
nanoPOTs_210902J_Ctrl_Day7_A4	Arabidopsis thaliana	leaf	seven weeks	1	not applicable	mesophyll	not applicable	not applicable	Ctrl-30%	nanoPOTS proteomics	NT=Trypsin/P;CS=(?<=[KR])	nanoPOTs_210902J_Ctrl_Day7_A4.raw	1	400.0 ppm	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002038;NT=label free sample	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=nQnC:-17;MT=Variable;PP=Any N-term;TA=QC;MM=-17.02650	NT=nE:-18;MT=Variable;PP=Any N-term;TA=E;MM=-18.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	40.0 ppm	1	lesSDRF v0.1.0
nanoPOTs_210902J_Ctrl_Day7_A5	Arabidopsis thaliana	leaf	seven weeks	1	not applicable	mesophyll	not applicable	not applicable	Ctrl-30%	nanoPOTS proteomics	NT=Trypsin/P;CS=(?<=[KR])	nanoPOTs_210902J_Ctrl_Day7_A5.raw	1	400.0 ppm	NT=Orbitrap Fusion Lumos;AC=MS:1002733	AC=MS:1002038;NT=label free sample	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=nQnC:-17;MT=Variable;PP=Any N-term;TA=QC;MM=-17.02650	NT=nE:-18;MT=Variable;PP=Any N-term;TA=E;MM=-18.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	40.0 ppm	1	lesSDRF v0.1.0
nanoPOTs_210902J_Ctrl_Day7_B1	Arabidopsis thaliana	leaf	seven weeks	1	not applicable	mesophyll	not applicable	not applicable	Ctrl-30%	nanoPOTS proteomics	NT=Trypsin/P;CS=(?<=[KR])	nanoPOTs_210902J_Ctrl_Day7_B1.raw	1	400.0 ppm	NT=Orbitrap Fusion Lumos;AC=MS:1002734	AC=MS:1002038;NT=label free sample	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=nQnC:-17;MT=Variable;PP=Any N-term;TA=QC;MM=-17.02650	NT=nE:-18;MT=Variable;PP=Any N-term;TA=E;MM=-18.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	40.0 ppm	1	lesSDRF v0.1.0
nanoPOTs_210902J_Ctrl_Day7_B12	Arabidopsis thaliana	leaf	seven weeks	1	not applicable	mesophyll	not applicable	not applicable	Ctrl-30%	nanoPOTS proteomics	NT=Trypsin/P;CS=(?<=[KR])	nanoPOTs_210902J_Ctrl_Day7_B12.raw	1	400.0 ppm	NT=Orbitrap Fusion Lumos;AC=MS:1002735	AC=MS:1002038;NT=label free sample	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=nQnC:-17;MT=Variable;PP=Any N-term;TA=QC;MM=-17.02650	NT=nE:-18;MT=Variable;PP=Any N-term;TA=E;MM=-18.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	40.0 ppm	1	lesSDRF v0.1.0
nanoPOTs_210902J_Ctrl_Day7_B2	Arabidopsis thaliana	leaf	seven weeks	1	not applicable	mesophyll	not applicable	not applicable	Ctrl-30%	nanoPOTS proteomics	NT=Trypsin/P;CS=(?<=[KR])	nanoPOTs_210902J_Ctrl_Day7_B2.raw	1	400.0 ppm	NT=Orbitrap Fusion Lumos;AC=MS:1002736	AC=MS:1002038;NT=label free sample	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=nQnC:-17;MT=Variable;PP=Any N-term;TA=QC;MM=-17.02650	NT=nE:-18;MT=Variable;PP=Any N-term;TA=E;MM=-18.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	40.0 ppm	1	lesSDRF v0.1.0
nanoPOTs_210902J_Ctrl_Day7_B3	Arabidopsis thaliana	leaf	seven weeks	1	not applicable	mesophyll	not applicable	not applicable	Ctrl-30%	nanoPOTS proteomics	NT=Trypsin/P;CS=(?<=[KR])	nanoPOTs_210902J_Ctrl_Day7_B3.raw	1	400.0 ppm	NT=Orbitrap Fusion Lumos;AC=MS:1002737	AC=MS:1002038;NT=label free sample	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=nQnC:-17;MT=Variable;PP=Any N-term;TA=QC;MM=-17.02650	NT=nE:-18;MT=Variable;PP=Any N-term;TA=E;MM=-18.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	40.0 ppm	1	lesSDRF v0.1.0
nanoPOTs_210902J_Ctrl_Day7_B5	Arabidopsis thaliana	leaf	seven weeks	1	not applicable	mesophyll	not applicable	not applicable	Ctrl-30%	nanoPOTS proteomics	NT=Trypsin/P;CS=(?<=[KR])	nanoPOTs_210902J_Ctrl_Day7_B5.raw	1	400.0 ppm	NT=Orbitrap Fusion Lumos;AC=MS:1002738	AC=MS:1002038;NT=label free sample	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=nQnC:-17;MT=Variable;PP=Any N-term;TA=QC;MM=-17.02650	NT=nE:-18;MT=Variable;PP=Any N-term;TA=E;MM=-18.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	40.0 ppm	1	lesSDRF v0.1.0
nanoPOTs_210902J_Ctrl_Day7_B6	Arabidopsis thaliana	leaf	seven weeks	1	not applicable	mesophyll	not applicable	not applicable	Ctrl-30%	nanoPOTS proteomics	NT=Trypsin/P;CS=(?<=[KR])	nanoPOTs_210902J_Ctrl_Day7_B6.raw	1	400.0 ppm	NT=Orbitrap Fusion Lumos;AC=MS:1002739	AC=MS:1002038;NT=label free sample	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=nQnC:-17;MT=Variable;PP=Any N-term;TA=QC;MM=-17.02650	NT=nE:-18;MT=Variable;PP=Any N-term;TA=E;MM=-18.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	40.0 ppm	1	lesSDRF v0.1.0
nanoPOTs_210902J_Ctrl_Day7_B7	Arabidopsis thaliana	leaf	seven weeks	1	not applicable	mesophyll	not applicable	not applicable	Ctrl-30%	nanoPOTS proteomics	NT=Trypsin/P;CS=(?<=[KR])	nanoPOTs_210902J_Ctrl_Day7_B7.raw	1	400.0 ppm	NT=Orbitrap Fusion Lumos;AC=MS:1002740	AC=MS:1002038;NT=label free sample	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=nQnC:-17;MT=Variable;PP=Any N-term;TA=QC;MM=-17.02650	NT=nE:-18;MT=Variable;PP=Any N-term;TA=E;MM=-18.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	40.0 ppm	1	lesSDRF v0.1.0
nanoPOTs_210902J_Ctrl_Day7_B8	Arabidopsis thaliana	leaf	seven weeks	1	not applicable	mesophyll	not applicable	not applicable	Ctrl-30%	nanoPOTS proteomics	NT=Trypsin/P;CS=(?<=[KR])	nanoPOTs_210902J_Ctrl_Day7_B8.raw	1	400.0 ppm	NT=Orbitrap Fusion Lumos;AC=MS:1002741	AC=MS:1002038;NT=label free sample	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=nQnC:-17;MT=Variable;PP=Any N-term;TA=QC;MM=-17.02650	NT=nE:-18;MT=Variable;PP=Any N-term;TA=E;MM=-18.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	40.0 ppm	1	lesSDRF v0.1.0
