Gene	10cell_B11	10cell_C12	3cell_A8	3cell_B9	10cell_D11	1cell_A3	1cell_B5	1cell_A5	1cell_D4	3cell_C7_2	3cell_B9
ATMG00030	3103.172792	226.4424701	750.8830519	477.5180767	11570.2835	28311.55305	5689.481038	22581.97389	7818.575368	45484.65173	2685.560361
ATCG00220	29377.99981	27022.79227	46272.5322	45206.08039	74784.21017	105432.7962	52871.87372	86035.07991	45974.83656	26827.4248	22410.94273
AT1G67090	6757.889496	7615.176968	52370.72486	28065.5443	8090.657561	4572.717934	10594.43407	10790.69856	9051.070305	25731.63115	21432.90019
ATCG01020	27599.09282	33827.87901	29355.86128	21871.98696	67536.91788	93845.63655	50976.83252	76217.52688	49027.13044	17502.24078	17943.90326
ATCG00080	17876.80131	13301.9651	10830.79237	12616.80719	20706.19959	29424.64874	16785.80454	14843.58091	15884.06827	15231.77511	11307.08192
ATCG00550	4138.545458	2508.379082	1138.502591	1583.986085	3581.67842	4603.300865	3219.228328	924.0267791	3426.259892	14982.64558	1838.096913
ATCG00440	5496.941398	3044.033125	5496.4102	3742.756859	10275.10227	15324.01891	7584.823408	6928.591531	5623.825714	13888.27585	3878.560404
AT5G64310	960.195078	122.5726564	10614.05214	15073.30158	786.5801044	404.8574862	931.6967733	82.10093705	302.4435065	13692.85353	13705.99471
AT1G79040	5426.386436	2280.523621	20407.74631	17498.3937	4410.656224	2712.599677	5441.514809	5744.080817	5664.03043	11419.25508	10146.06197
AT5G11740	18931.99734	26855.74736	4308.275788	12988.13615	19205.52843	13625.42993	19785.56939	33283.6175	26218.46056	11188.32606	14626.82875
AT1G29930	93.97810827	331.441049	16384.82509	10889.36985	1470.661611	773.1454723	2102.030252	422.7276643	364.6088669	9967.70948	6033.692997
AT5G38410	4414.754309	3537.694732	23963.34864	12464.83301	5777.771004	2764.848042	7501.624405	8225.515532	6188.892154	8663.134839	8711.037136
ATCG00740	2196.222401	1451.215063	1662.780201	754.5390316	3305.604614	4281.034806	2739.482097	2673.684858	2200.406128	8609.419188	1425.401238
AT5G20230	1330.823137	7683.498317	2530.737981	7332.352736	2074.884317	1350.53777	2522.883187	971.8750518	1711.287793	6348.952518	6370.762846
ATCG00470	9500.798686	7848.455319	8303.773602	5623.787435	18632.11549	28678.79885	13608.99126	18997.78438	12337.25213	6278.597153	6164.053817
ATCG00790	2979.106479	3774.250988	4994.692829	1217.332653	8074.560259	11583.06915	5565.72379	7879.55931	5058.905606	6274.897519	3145.247389
AT5G59820	884.092425	648.7815647	3368.929349	6014.912839	700.327802	622.5190827	709.050926	172.4555642	321.2775286	6057.577331	4164.884864
ATCG00070	7853.083076	7523.377363	3705.971192	3467.196129	5412.687794	6486.481497	4855.162719	2640.049216	7306.254617	5490.750263	4907.136635
AT1G29920	5.778589182	122.5979482	12443.81556	4701.295163	466.6353881	164.069395	658.5723509	23.10729998	51.64110021	5419.773721	3193.729867
AT1G66580	7620.037044	5509.739371	6638.065609	8751.101554	4160.123957	4070.708364	4386.160403	3830.954406	6952.334147	5377.098747	7034.320731
