ID	TAIR
Q9XFT3-2	AT4G21280.1
P27140-3	AT3G01500.1
Q9ZR03-2	AT4G03280.2
Q9LPW0-2	AT1G12900.3
Q9LPW0-2	AT1G12900.4
P42737-2	AT5G14740.2
P42737-2	AT5G14740.6
P42737-2	AT5G14740.7
P42737-2	AT5G14740.8
P42737-2	AT5G14740.9
Q42512-2	AT2G42540.1
Q42512-2	AT2G42540.4
Q9ZNZ7-2	AT5G04140.2
Q944I4-3	AT1G80380.3
P81760-2	AT5G53490.2
Q8LDL0-2	AT1G67700.1
Q8LDL0-2	AT1G67700.4
Q9SW18-2	AT4G25080.4
O82230-2	AT2G24020.2
P92947-2	AT1G63940.1
A0A1P8BDF7	AT5G66530.4
Q9ASS6-2	AT5G13120.2
Q96262-2	AT4G20260.4
Q94BT9	AT1G66240.2
O65398-2	AT1G11840.6
Q9FJX3	AT5G67500.3
O80634-2	AT2G39470.2
O23403-3	AT4G15510.3
O23403-3	AT4G15510.4
O23403-3	AT4G15510.5
A0A1P8B982	AT5G01650.4
Q9LD47-2	AT1G12520.2
A0A1R7T3A4	AT5G65620.2
A0A1P8AR50	AT1G01320.3
O49596-2	AT1G20693.2
B9DHG0-2	AT1G22700.2
Q944H0-2	AT1G48600.1
A0A1P8BF69	AT5G14030.5
A0A1P8AZN3	AT2G32520.2
F4KHG6-2	AT5G46390.1
Q9LV77-2	AT5G65010.2
A0A1P8B7H4	AT4G20760.2
Q8RUW5-2	AT2G22990.3
Q8VZF3-2	AT2G47390.1
Q93Y07-2	AT3G06510.2
O04905-2	AT5G26667.1
Q8VZG7-2	AT5G07350.2
Q9LZ82-2	AT5G04430.2
A0A1I9LNZ1	AT3G07470.3
O64730-2	AT2G30170.3
Q9SIU8-2	AT2G20630.1
Q9LIR4-2	AT3G23940.2
Q570C8-2	AT5G48880.1
Q7X9V3-2	AT1G32070.1
Q9SKZ1-2	AT2G32080.2
A0A1P8BEU1	AT5G27390.2
Q39089-2	AT2G48120.2
A0A1R7T377	AT5G27560.2
Q9M336-2	AT3G53900.1
Q9LK73-2	AT3G16520.1
A0A1P8BAU8	AT5G23890.2
Q38954-2	AT3G26570.1
Q94K75-2	AT1G06190.2
Q9LVY0-2	AT5G36170.2
C0Z2R6	AT4G18950.1
Q9FKS5-2	AT5G40810.2
Q9ZW13-2	AT2G29290.1
P54873-2	AT4G11820.1
P54873-2	AT4G11820.3
Q9SVD7-2	AT3G52560.2
A0A1P8B8P6	AT4G24380.3
Q8W496-2	AT4G25650.1
Q9C5U8-2	AT5G63890.1
P20115-2	AT2G44350.1
P20115-2	AT2G44350.4
A0A1P8AS55	AT1G64680.2
A2RVM0-2	AT4G23430.1
Q56WH4-2	AT5G22650.2
P0DO44	AT3G46430.1
P0DO44	AT5G59613.1
P0DO44	AT5G59613.2
Q8W1X2-2	AT5G37850.1
Q9LZX1-2	AT5G01750.1
P92966-2	AT5G52040.2
A0A1R7T3E3	AT5G52410.3
Q9CA59-3	AT1G74560.3
Q96254-2	AT2G44100.2
Q9C5C5-2	AT1G07700.3
Q9ZUR7-2	AT2G37500.2
Q9STX2-2	AT4G24220.2
Q8L4N1-2	AT4G27320.2
F4JF21-2	AT3G48500.2
A0A1P8AVY5	AT1G35420.3
Q24JL3-2	AT1G16460.1
Q24JL3-2	AT1G16460.3
Q24JL3-2	AT1G16460.4
Q8LCT3-2	AT4G29670.1
A0A1P8B9R5	AT5G61510.2
Q9LX99-2	AT5G10470.2
Q8L7Z3-2	AT5G18400.1
Q93WF6-2	AT4G02380.2
A0A1P8B8B4	AT4G01870.2
O04450-2	AT1G24510.2
Q9LFD5-2	AT5G16840.2
O48528-2	AT2G42210.2
Q94CE5-2	AT3G22200.2
O23404-3	AT4G15530.1
O23404-3	AT4G15530.4
A0A1R7T3A2	AT5G20130.2
A0A1P8ATZ7	AT1G21350.5
Q8VZV9-2	AT5G24314.2
A0A178UXH8	AT4G37550.5
Q8RWT8-2	AT1G11870.1
Q8LDW8-2	AT1G06130.2
A0A1I9LMK8	AT3G47560.3
Q9FPF0-2	AT3G14990.2
Q9FPF0-2	AT3G14990.3
A0A1I9LT30	AT3G56130.5
A0A1P8B956	AT4G12290.2
A0A1P8BGI7	AT5G17530.4
A0A1P8B223	AT2G35820.2
Q8L828-2	AT3G15980.2
Q8L828-2	AT3G15980.3
Q8L828-2	AT3G15980.4
Q8L828-2	AT3G15980.6
Q39253-2	AT2G38170.3
Q8L539-2	AT5G13050.2
Q9C6B9-2	AT1G73600.2
Q9SEE9-2	AT1G16610.2
Q94AU7-2	AT5G66510.2
A2RVS6-2	AT3G49430.2
Q8L794-2	AT2G21370.2
Q8VXZ7-2	AT3G56310.2
A0A1P8AX61	AT2G01755.2
A0A178VFU5	AT3G09250.3
Q9SUR9-2	AT4G23570.3
O81629-2	AT4G10840.2
A0A1P8BB34	AT5G36230.2
A0A1P8APX5	AT1G04290.2
P53780-2	AT3G57050.2
O23614-2	AT4G17740.2
O65570-2	AT4G30160.2
F4IXW2	AT3G43300.3
P42774-2	AT4G36730.2
Q9SGI8-2	AT3G01830.2
Q9S7U9-2	AT4G29810.2
Q9LVQ8-2	AT5G66720.2
Q8L719-2	AT5G02530.2
B9DGD6-2	AT5G36880.1
B9DGD6-2	AT5G36880.3
B9DGD6-2	AT5G36880.5
B9DGD6-2	AT5G36880.6
Q8H107-2	AT4G26910.2
P93042-2	AT3G13870.2
Q9LTT8-2	AT3G13300.2
A8MS41-2	AT1G31500.1
A0A1P8B4Q6	AT4G10430.7
Q9FPT1-2	AT5G06600.2
P37702-2	AT5G26000.2
Q94BZ7-2	AT5G04130.2
Q94BZ7-2	AT5G04130.3
Q9SUF2	AT4G08280.2
Q9SUF2	AT4G08280.3
Q8LDP4-2	AT2G29960.2
Q8S9J1-2	AT5G14220.2
Q9LVM5-2	AT5G58220.3
Q94CE3-2	AT4G33580.2
Q9ZU35-2	AT2G01320.3
A0A1P8BG49	AT5G04440.2
Q94AC8-2	AT4G28030.2
A0A1P8AU33	AT1G62850.4
A0A1P8B4G8	AT4G14930.2
A0A1P8AVH1	AT1G52730.3
Q9LYC7-2	AT3G62940.1
Q9LYC7-2	AT3G62940.5
Q3E870-2	AT5G62575.1
A0A1I9LL75	AT3G13740.3
A0A1P8APR1	AT1G48460.2
Q84WK5-2	AT1G61150.2
Q84WK5-2	AT1G61150.4
Q84WK5-2	AT1G61150.6
Q84WK5-2	AT1G61150.8
Q84WK5-2	AT1G61150.9
B9DHD3-2	AT1G71920.4
B9DHD3-2	AT1G71920.5
B9DHD3-2	AT5G10330.4
B9DHD3-2	AT5G10330.5
B9DHD3-2	AT5G10330.6
B9DHD3-2	AT5G10330.7
A0A1P8AP55	AT1G80770.4
Q9SIE1-2	AT2G22250.1
Q8RWR1-2	AT3G20810.1
Q94JU3-2	AT1G02090.2
Q9XII1-2	AT2G16070.1
Q9XII1-2	AT2G16070.3
A0A1I9LRX3	AT3G10840.3
Q8LFS6-2	AT4G03110.3
A0A1P8B9X6	AT5G06220.3
A0A1I9LPI7	AT3G56160.3
F4I893-2	AT1G64790.1
A0A178W0K0	AT2G37020.3
O80944-2	AT2G37760.5
Q9SAE3	AT1G13090.2
A0A1R7T3I7	AT5G57120.2
A8MS68-2	AT3G16950.1
O04130-2	AT1G17745.2
Q9FIW4-2	AT5G36890.2
P40940-2	AT2G24765.2
A0A1P8B5D2	AT4G38550.5
A0A1P8ARL4	AT1G15060.2
Q8H112-2	AT4G22890.5
A0A1I9LR68	AT3G47000.3
Q9M047-2	AT3G55770.7
O22315-2	AT1G02840.3
O22315-2	AT1G02840.4
O22315-2	AT1G02840.5
Q8LC68	AT1G18800.1
A0A1P8ASX3	AT1G15950.5
F4J5S1-2	AT3G52140.1
A0A1P8AXX8	AT2G34310.5
Q9FME2-2	AT5G60980.1
Q9FME2-2	AT5G60980.4
Q0WUA3-2	AT1G60600.1
Q38853-2	AT4G35770.2
Q8VZC0-2	AT3G53520.2
A0A178V207	AT4G33625.3
Q9C667-2	AT1G26230.4
A0A1P8BD60	AT5G63060.2
A0A1I9LM38	AT3G01920.2
Q9MA55-2	AT3G05420.2
A0A178UVJ1	AT4G01995.3
A0A1I9LSH2	AT3G62360.2
A0A1P8BBQ3	AT5G28237.2
A0A1P8BEB7	AT5G62840.2
Q38997-1	AT3G01090.2
A0A1I9LN21	AT3G60450.2
Q67XQ0-2	AT4G14240.2
F4IBB2-2	AT1G58280.1
A0A1I9LMT6	AT3G12640.4
Q9SVG4-2	AT4G20830.2
A0A178WMJ5	AT1G55980.2
A0A1I9LLZ2	AT3G45190.2
A0A1P8AV86	AT1G06060.2
A0A1P8B4Y6	AT4G21660.3
A0A1P8B9A6	AT5G65685.11
A0A1I9LP71	AT3G26085.4
O04379-2	AT1G48410.2
O04379-2	AT1G48410.3
Q9SUJ1-2	AT3G05710.1
Q9C503-2	AT1G55370.1
Q94C48-2	AT4G32330.2
A0A1P8B6F9	AT4G02120.2
Q9S7C0-2	AT1G79930.2
A0A1P8AVN7	AT1G66940.4
A0A1P8B9Q7	AT5G18230.3
Q8S8F8-2	AT2G22475.2
B9DFG5-2	AT3G59350.2
Q84XU2-2	AT2G42810.1
Q84XU2-2	AT2G42810.4
Q84XU2-2	AT2G42810.5
Q8H0U4-2	AT2G16950.1
Q39247-2	AT1G17720.2
Q8VYA5-2	AT2G37340.2
Q8VYA5-2	AT2G37340.4
Q8VYA5-2	AT2G37340.6
A0A1P8B8V0	AT4G22285.2
Q0WL80-2	AT1G71220.2
A0A1I9LTL7	AT3G13060.4
Q9LQ43	AT1G59710.2
